ASSEMBLY_NAME,ASSEMBLY_ACC,STUDY_ID,SAMPLE_ID,CONTIG_ACC,SCAFFOLD_ACC,CHROMOSOME_ACC
UC_ERR2014368,ERZ1739944,PRJEB41812,ERS1796493,ERZ1739944.1-ERZ1739944.15,,
UC_ERR695598,ERZ1739945,PRJEB41812,ERS625306,ERZ1739945.1-ERZ1739945.2292,,
UC_ERR1913260,ERZ1739946,PRJEB41812,ERS1647295,ERZ1739946.1-ERZ1739946.9,,
UC_ERR1809131,ERZ1739947,PRJEB41812,ERS1509317,ERZ1739947.1-ERZ1739947.218,,
UC_ERR1611419,ERZ1739948,PRJEB41812,ERS1336047,ERZ1739948.1-ERZ1739948.1011,,
UC_ERR1823588,ERZ1739949,PRJEB41812,ERS1546032,ERZ1739949.1-ERZ1739949.1141,,
UC_ERR719926,ERZ1739950,PRJEB41812,ERS634953,ERZ1739950.1-ERZ1739950.510,,
UC_ERR1611388,ERZ1739951,PRJEB41812,ERS1336016,ERZ1739951.1-ERZ1739951.301,,
UC_ERR1823596,ERZ1739952,PRJEB41812,ERS1546040,ERZ1739952.1-ERZ1739952.1076,,
UC_ERR1611400,ERZ1739953,PRJEB41812,ERS1336028,ERZ1739953.1-ERZ1739953.47,,
UC_ERR1809151,ERZ1739954,PRJEB41812,ERS1509325,ERZ1739954.1-ERZ1739954.44,,
UC_ERR981251,ERZ1739955,PRJEB41812,ERS805760,ERZ1739955.1-ERZ1739955.188,,
UC_ERR1297794,ERZ1739956,PRJEB41812,ERS1069678,ERZ1739956.1-ERZ1739956.1148,,
